Source,Sector,Business Name,Email,Phone number,Address,Name,Title of Contact Person,Website
BASE DE DONNEES sans doublons.xlsx,Affiliated Associations,Chinese Chamber of Commerce,ccoc1908@intnet.mu,,Hua Shang Centre,Mr. Conway Ip Min Wan - President,,http://intnet.mu
BASE DE DONNEES sans doublons.xlsx,Affiliated Associations,Indian Traders' Association,sunassee@intnet.mu,2302083339; 2302122934,Cnr. Sir William Newton,Mr. S. Sunassee - President,,http://intnet.mu
BASE DE DONNEES sans doublons.xlsx,Affiliated Associations,Mauritius Chamber of Merchants,scarrim@mu.cpworldgroup.com,2302177070; 2302177090,C/o MCL Freight Services Ltd.,Mr. Yousouf Delbar - President,,http://mu.cpworldgroup.com
BASE DE DONNEES sans doublons.xlsx,Commerce,A. Abdul Rahim Oosman & Co. (Magasin Bleu),aroosman@intnet.mu; socmum@intnet.mu,2302172000; 2302422236; 2302429869,P.O. Box 68,Mr. Salim Habib F.C.C.A. - Chief Executive,,http://f.c.c.a; http://intnet.mu; http://p.o
BASE DE DONNEES sans doublons.xlsx,Commerce,A. E. Patel & Co.,admin@aepatel.com,2302100128; 2302102822,18 Church Street,Mr. Esmaël M. Patel - Managing Director,,http://aepatel.com; http://www.aepatel.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,ABC Motors Co. Ltd.,executive@abcmotors.mu,2302069900; 2302421193,ABC Centre,Mr. Dean Ah-Chuen - Managing Director,,http://abcmotors.mu; http://www.abcmotors.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,AEV Dreamnxs Ltd.,victorgregory21@gmail.com,23058218692,Level 8,Mr. Danish Lau Hiu Hoong - Chief Executive,,http://gmail.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Agiliss Ltd.,info@agiliss.mu,2306960674; 2306960675; 2306980256,Industrial Zone,Ms. Sharon Ramdenee - Chief Executive Officer,,http://agiliss.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Al Hisra International Trade Ltd.,goolbarh@gmail.com,23057597649; 57597649,Royal Road,Mr. Hamza Aneel Goolbar - Director,,http://gmail.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Aldrex Suppliers Ltd.,sheila.d@aldrex.mu,2304278356,Corner Baissac and Victoria Avenues,Mr. Joseph Desire Tristan Rambert - Director,,http://sheila.d@aldrex.mu; http://www.aldrex.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,AMCO Solutions Ltd.,info@amco.mu,2304608400,The Pod,Mr. Xavier de Chalain - General Manager,,http://amco.mu; http://www.amco.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Aqui Ltd.,delphine@aqui.mu,2302670889,Domaine de Labourdonnais,Mr. Alexandre Junca - Chief Executive,,http://aqui.mu; http://www.aqui.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,AW Wong Ltd.,sales@awmauritius.com,2302347638; 2302711640; 23027116402711644; 2711644,AW Building,Mr. Albert Wong Yuen - Director,,http://awmauritius.com; http://www.awmauritius.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Axess Ltd.,axess@axess.mu,2302064300; 2302865121,Grewals Lane,Mr. Antoine D'Unienville - General Manager,,http://axess.mu; http://www.axess.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Ayoob Cassim & Co Ltd.,rafacassim@gmail.com,2302122802; 2302422240,Jummah Mosque Street,Mr. A. R. Cassim - Manager,,http://gmail.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Bedford Impex Ltd.,bedfordimpex@outlook.com,23057990599,nan,Ms. Poonam Ramchandani - Director / Shareholder,,http://outlook.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Brimpex Trading Ltd.,admin@rbrbconstruction.com,2304547376; 2304666222,42A,Mr. Bhooshan Ramloll - Managing Director,,http://rbrbconstruction.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Bristol Fire and Safety Ltd.,salman@bristolfireandsafety.com,23057646742; 57646742,5A,Mr. Salman Jawaheer - Director,,http://bristolfireandsafety.com; https://bristol-fire.com
BASE DE DONNEES sans doublons.xlsx,Commerce,British American Tobacco (Mauritius) PLC.,karoona_moodely@bat.com,2302490201; 2304056000,Hermes House,Mr. Satuda Moodely - Cluster Manager,,http://bat.com; http://www.bat.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Caunhye Bijoux Ltd.,caubijou@intnet.mu,2302110876; 2302121891,nan,Mr. Raffick Caunhye - Director,,http://intnet.mu
BASE DE DONNEES sans doublons.xlsx,Commerce,Cementis (Mauritius) Ltd.,lafargemtius@lafargeholcim.com,2304652210,Chaussée Tromelin,Mrs. Heba Capdevila Jangeerkhan - Managing Director,,http://lafargeholcim.com; http://www.lafarge.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,CFAO Motors,cfaomauritius@cfao.com,2302869191; 2302869192,Motorway M1,Mr. Pascal Ermgodts - Managing Director,,http://cfao.com; http://p.o; http://www.cfaogroup.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Chue Wing & Co. Ltd.,corporate@abcfoods.mu,2304062100; 2304062109,Avenue Trianon,,,http://abcfoods.mu; http://www.abcfoods.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,CMT International Trading Ltd.,info@cmt-intl.com,2302342842; 2302342898,C/o CMT Spinning Mills Ltd,Mr. Kris Poonoosamy - Managing Director,,http://cmt-intl.com; http://www.cmt-intl.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Coroi Maurice Ltee.,admin@coroi.mu,2304055700; 2304055701,Grewals Lane,Mr. Emmanuel Berenger - Chief Executive Officer,,http://coroi.mu; http://www.coroi.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Currimjee Jeewanjee & Co. Ltd.,cjcorporate@currimjee.com,2302408133; 2306506200,P.O. Box 49,Mr. Anil C. Currimjee - Managing Director,,http://currimjee.com; http://p.o; http://www.currimjee.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,Desbro Trading Ltd.,abisennik@str.mu,2302351111; 2302606666,Sat Nam Road,Mr. Naresh Nama - General Manager,,http://str.mu; http://www.dtl.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Domaine de Labourdonnais Ltée.,w.rabot@ddl.mu,2302666415; 2302669533,Labourdonnais,Mr. Jean Francois Lagesse - Managing Director,,http://w.rabot@ddl.mu; http://www.domainedelabourdonnais.com/
BASE DE DONNEES sans doublons.xlsx,Commerce,E. G. H. Co. Ltd. & Cie,hhoeghcl@gmail.com,2302426110; 2302428396,nan,Mr. Henry Ho - Manager,,http://gmail.com
BASE DE DONNEES sans doublons.xlsx,Commerce,Edendale Ltd.,info@edendale.mu,2302864654; 2302864920,P.O. Box 683,Mr. Gilbert Liu Man Hin - Chief Operating Officer,,http://edendale.mu; http://p.o; http://www.edendale.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Emcar Ltd.,emcar@emcar.mu,2302125952; 2304051000,P.O. Box 710,Mr. Marc Rogers - Managing Director,,http://emcar.mu; http://p.o; http://www.emcar.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Engen Petroleum (Mauritius) Ltd.,info@engen.mu,2302066000; 2302402319,Quay D Road,Mr. Jean Pierre Payet - Managing Director,,http://engen.mu; http://www.engen.co.za/
BASE DE DONNEES sans doublons.xlsx,Commerce,ENL Group,info@enl.mu,2304049555; 2304049565,ENL House,Mr. Hector Espitalier-Noël - Chief Executive Officer,,http://enl.mu; http://www.enl.mu/
BASE DE DONNEES sans doublons.xlsx,Commerce,Fine Foods Marketing Ltd.,mario.gebert@ffml.mu,2302481801; 2302493921; 2480108,B33 Riche Terre Road,Mr. Mario Gebert - Managing Director,,http://mario.gebert@ffml.mu; http://www.finefoods.mu/
