source_file,source_sheet,invoice_no,date,client_name,address,sku,qty,unit_price,subtotal,tax,total,sector,company_name,brand_names,column1,column2,column3,column4,column5,email,phone,contact_person,website,fax,company,segment,activity,name_title_of_contact_person,email_address,nan,collaboration_human_resource,addrress,tel,mobile_number,remarks,source,business_name,phone_number,contact_detail,email_adress,company_information,follow_up,name_of_company,contact_no,candidates,category,number_977,passport_validation,selection,turnover,contact_number,number,called_for_expatriate,cbris_turnover,emails,names_assistant_administrative,age,employed_not_employed,qualifications,salary_expectation,availability,,contact,companies,contact_person_remarks,names_of_clinics,follow_up_by_arzina,follow_up_eoy_yaseerah_17_09_2024,call_done_fatima_zahra,follow_up_on_mails,follow_up_1,follow_up_2,follow_up_deepsha_09_10_24,talked_to,talked_to_2024,follow_up_by_deepsha,prospect_bt_deepsha,9,name_of_supermarket,contact_details,1st_follow_up_10_08_23,2nd_follow_up_30_07_2024_by_victoria,follow_up_by_victoria,add,email_add,1st_follow_up,2nd_follow_up,names_of_agents,contacted_on_whatsapp,name_of_agents,3rd_follow_up_made_by_victoria,talk_to,follow_up_by_victoria_07_08_24,follow_up_yaseerah_eoy_16_09,applicant_name,add_2,follow_up_july_2024,follow_up_by_arzina_21_08_2024,follow_up_by_ruhainah_09_05_2025,status,21_07_2023,24_07_2023,31_07_2023,2023_01_08_00_00_00,2023_04_08_00_00_00,2023_07_08_00_00_00,17_08_2023,21_08_2023,22_08_2023,14_05_2024,follow_up_by_victoria_14_08_2024,date_02_09_24_hitisha,follow_up_july_august_2024_by_nuzhah,follow_up_september_2024_by_09_09_2024_yaseerah,follow_up_august_2024_by_nuzhah,eoy_yaseerah_17_09_2024,01_08_2024_arzinah,follow_up_eoy_yaseerah_16_09_2024_17_09_24,follow_up_end_of_year_yaseerah_19_09,agency_name_nepal,follow_up_17_09_2024_yaseerah_end_of_year,person,mail,report_call_for_end_of_year_party,11_6_2023zakia,date_02_09_24_deepsha,updated_email,follow_up_by_nuzhah,follow_up_yaseerah_20_09_24,remarks_10_09_2024_yaseerah,call_remarks_12_09_2024_yaseerah,remarks_called_made_by_victoria_on_02_10_2024,follow_up_on_client_by_victoria_on_04_02_24,remarks_10_09_2024_12_09_2024_yaseerah,remarks_04_10_yaseerah,remark_deepsha_08_10_24,spoke_to,remarks_yaseerah_07_10,name_of_companies,adress,30_09,remarks_yaseerah,follow_up_no_answer_calls_01_10,priority,degree,telephone_number,scheduled_time_for_interview
BASE DE DONNEES sans doublons.xlsx,Feuil1,,,,Hua Shang Centre,,,,,,0.0,Affiliated Associations,Chinese Chamber of Commerce,,Cnr. Royal & Corderie Streets,Port Louis,nan,nan,11602,ccoc1908@intnet.mu,,Mr. Conway Ip Min Wan - President,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL 1.xlsx,CAR DEALERS,,,Automaster Ltd,Quatre Bornes,,,,,,0.0,,,,,,,,,,,,,,,,,,salesautomasterltd@gmail.com,,,,454 5402,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL 1.xlsx,CAR DEALERS,,,Super Cars Mauritius,Rose Hill,,,,,,0.0,,,,,,,,,,,,,,,,,,info@gbe-ltd.com,,,,5798 8542,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL 1.xlsx,CAR DEALERS,,,J.Badal & Co Ltd,St Pierre,,,,,,0.0,,,,,,,,,,,,,,,,,,javed@jbadal.net,,,,nan,5256 5551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL 1.xlsx,CAR DEALERS,,,Ajageer Showroom,St Pierre,,,,,,0.0,,,,,,,,,,,,,,,,,,ajageer@intnet.mu,,,,nan,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL 1.xlsx,CAR DEALERS,,,Direct Auto Mauritius,Port Louis,,,,,,0.0,,,,,,,,,,,,,,,,,,alexandre.directauto@gmail.com,,,,214 1748,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL 1.xlsx,CAR DEALERS,,,AM AUTO LTD,Vacoas,,,,,,0.0,,,,,,,,,,,,,,,,,,amautoltd7@gmail.com,,,,nan,5825 4246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL 1.xlsx,CAR DEALERS,,,BHK ( Motors )Co.Ltd,Vacoas,,,,,,0.0,,,,,,,,,,,,,,,,,,asktrdg@intnet.mu,,,,697 6777,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL 1.xlsx,CAR DEALERS,,,Auto City Car Showroom,Phoenix,,,,,,0.0,,,,,,,,,,,,,,,,,,autocityvacoas@gmail.com,,,,427 3662,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXCEL 1.xlsx,CAR DEALERS,,,Auto Prefere Cie Ltee,Chemin grenier,,,,,,0.0,,,,,,,,,,,,,,,,,,autoprefere@gmail.com,,,,622 2281,nan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
