file,sheet,status,rows_in,rows_out
BASE DE DONNEES sans doublons.xlsx,Feuil1,OK,648,647
DATABASE 2.xlsx,Table 1,OK,216,214
EXCEL 1.xlsx,HR SERV PROPOSAL- FOLLOW UP,OK,79,77
EXCEL 1.xlsx,CAR DEALERS,OK,71,70
EXCEL 1.xlsx,SECURITY FIRMS,OK,38,37
excel 2.xlsx,Sheet1,OK,52,51
Master.xlsx,Master,OK,1088,1087
Master.xlsx,adsedfsd,OK,6518,6517
Master.xlsx,Updated Database compilation,OK,1318,1317
Master.xlsx,Sheet2,OK,5201,5200
updated- database.ods,08_August_,OK,129,128
updated- database.ods,Sheet74,OK,67,66
updated- database.ods,Candidates_for_interview_,OK,325,189
updated- database.ods,Supplier,OK,40,39
updated- database.ods,CLIENTS_WHOSE_PROCEDURES_WE_HAV,OK,42,41
updated- database.ods,WOOD_SUPPLIERS_&_MANUFACTURERS,OK,73,72
updated- database.ods,ADMINISTRATIVE_AND_SUPPORT_SERV,OK,181,180
updated- database.ods,CALL_CENTERS,OK,147,145
updated- database.ods,BANK,OK,53,51
updated- database.ods,Fishery_Companies_,OK,102,101
updated- database.ods,WOOD_SUPLIERS_-_DONE_,OK,85,84
updated- database.ods,TRANSPORT,OK,45,44
updated- database.ods,DIGITAL_MARKETING_COMPANIES,OK,91,89
updated- database.ods,CONSTRUCTION_COMPANY_+_CBRIS_-_,OK,518,517
updated- database.ods,POULTRY_COMPANIES,OK,21,19
updated- database.ods,INTERVIEWS,OK,11,10
updated- database.ods,ACCOUNTING_FIRMS,OK,183,182
updated- database.ods,List_of_SME,OK,1456,1455
updated- database.ods,POTENTIAL_CLIENTS_2024_,OK,47,46
updated- database.ods,LIST_OF_CLINICS,OK,50,49
updated- database.ods,POTENTIAL_CLIENTS_-_EXPATRIATES,OK,99,6
updated- database.ods,PERSONALISED_GIFTS,OK,44,43
updated- database.ods,PASTRY_SHOPS,OK,210,208
updated- database.ods,_TEXTILE_1,OK,57,55
updated- database.ods,hotels,OK,999,285
updated- database.ods,Follow_up,OK,122,121
updated- database.ods,Freeport_,OK,207,206
updated- database.ods,Deepsha_,OK,179,178
updated- database.ods,Supermarket_,OK,101,100
updated- database.ods,Bhavineebye_,OK,181,180
updated- database.ods,SRI_LANKA_-_AGENTS_MANPOWER,OK,25,24
updated- database.ods,INDONESIA_-_AGENTS_MANPOWER,OK,47,41
updated- database.ods,Security_,OK,30,29
updated- database.ods,Software_companies_,OK,47,46
updated- database.ods,CIDB_1,OK,896,824
updated- database.ods,Poonam_,OK,54,53
updated- database.ods,CIDB_2,OK,54,53
updated- database.ods,Gym_,OK,20,19
updated- database.ods,FOOD_&_BEVERAGES_,OK,105,103
updated- database.ods,METAL_WORKS,OK,74,72
updated- database.ods,Sheet61,OK,46,45
updated- database.ods,TRANSPORT__&_LOGISTICS,OK,82,80
updated- database.ods,MCCI,OK,560,559
updated- database.ods,RATTAN_WEAVING_COMPANY,OK,14,13
updated- database.ods,PHARMACEUTICALS_,OK,38,37
updated- database.ods,CIDB3,OK,53,52
updated- database.ods,"Dairy,_Sugar,pasta_Companies__",OK,173,172
updated- database.ods,TEXTILE_2,OK,101,100
updated- database.ods,Manufacturing_,OK,139,138
updated- database.ods,Textile_3,OK,74,73
updated- database.ods,Energy_Companies,OK,14,13
updated- database.ods,INFORMATION_technology_,OK,365,364
updated- database.ods,Real_estate_,OK,81,80
updated- database.ods,Sheet32,NO_HEADER_MATCH_OR_EMPTY,5,0
updated- database.ods,Sheet56,OK,13,11
