company_name,industry,country,city,email,phone,website,source,sector_raw,sector_group
AAA Global Services Ltd,Financial Services - Other,Mauritius,,headoffice@aaa.com.mu,(230) 454 3200,headoffice@aaa.com.mu,mauritius_ifc_directory,,Financial Services - Other
ABC Banking Corporation Ltd,Financial Services - Other,Mauritius,,info@abcbanking.mu,(230) 206 8000,info@abcbanking.mu,mauritius_ifc_directory,,Financial Services - Other
ABC Global Management Services Co. Ltd.,Financial Services - Other,Mauritius,,jc.tsang@abcglobal.mu,+230 464 2668,jc.tsang@abcglobal.mu,mauritius_ifc_directory,,Financial Services - Other
Absa Bank (Mauritius) Limited,Financial Services - Other,Mauritius,,customer.contact@absa.africa,+ (230) 404 1000,https://www.absabank.mu,mauritius_ifc_directory,,Financial Services - Other
Acclime Mauritius Limited,Financial Services - Other,Mauritius,,global.mauritius@acclime.com,+230 217 5100,global.mauritius@acclime.com,mauritius_ifc_directory,,Financial Services - Other
Accuro Trust (Mauritius) Ltd,Financial Services - Other,Mauritius,,Mauritius@accurofiduciary.com,+230 403 0400,Mauritius@accurofiduciary.com,mauritius_ifc_directory,,Financial Services - Other
Adansonia Management Services Limited,Financial Services - Other,Mauritius,,info@adansoniamanagement.com,+230 269 4166,info@adansoniamanagement.com,mauritius_ifc_directory,,Financial Services - Other
Afrasia Bank Limited,Financial Services - Other,Mauritius,,afrasia@afrasiabank.com,+ (230) 208 5500,afrasia@afrasiabank.com,mauritius_ifc_directory,,Financial Services - Other
Afri Life Insurance Ltd,Financial Services - Other,Mauritius,,info@afrilifeinsurance.com,+230 4035200,info@afrilifeinsurance.com,mauritius_ifc_directory,,Financial Services - Other
Apex Fund Services (Mauritius) Ltd,Financial Services - Other,Mauritius,,info@apex.mu,+230 404 8800,info@apex.mu,mauritius_ifc_directory,,Financial Services - Other
Appavoo International Ltd,Financial Services - Other,Mauritius,,info@hlb-mauritius.com,+230 203 3900,info@hlb-mauritius.com,mauritius_ifc_directory,,Financial Services - Other
Arch Global Consult Ltd,Financial Services - Other,Mauritius,,info@archglobalconsult.com,+230 243 7888,info@archglobalconsult.com,mauritius_ifc_directory,,Financial Services - Other
Axis Fiduciary Ltd,Financial Services - Other,Mauritius,,info@axis.mu,+230 403 2500,info@axis.mu,mauritius_ifc_directory,,Financial Services - Other
Bank Of Baroda,Financial Services - Other,Mauritius,,bobgen@intnet.mu,(230) 208 1504/05,bobgen@intnet.mu,mauritius_ifc_directory,,Financial Services - Other
Bank Of China (Mauritius) Limited,Financial Services - Other,Mauritius,,services.mu@bankofchina.com,+(230) 203 4878,services.mu@bankofchina.com,mauritius_ifc_directory,,Financial Services - Other
Bank One Limited,Financial Services - Other,Mauritius,,info@bankone.mu,(230) 202 9200,info@bankone.mu,mauritius_ifc_directory,,Financial Services - Other
BanyanTree Bank Limited,Financial Services - Other,Mauritius,,info@banyantreebank.com,(230) 468 1101,info@banyantreebank.com,mauritius_ifc_directory,,Financial Services - Other
BCP Bank (Mauritius) Limited,Financial Services - Other,Mauritius,,serviceclient@bcpbank.mu,+(230) 207 1000,serviceclient@bcpbank.mu,mauritius_ifc_directory,,Financial Services - Other
Blue Azurite Ltd,Financial Services - Other,Mauritius,,corporate@blueazurite.com,+230 214 2237,corporate@blueazurite.com,mauritius_ifc_directory,,Financial Services - Other
BTG Consulting Limited,Financial Services - Other,Mauritius,,admin@btg-mauritius.com,+230 483 12 12,admin@btg-mauritius.com,mauritius_ifc_directory,,Financial Services - Other
BTG Management Services (Mauritius) Limited,Financial Services - Other,Mauritius,,admin@btg-mauritius.com,+230 483 12 12,admin@btg-mauritius.com,mauritius_ifc_directory,,Financial Services - Other
Citco (Mauritius) Limited,Financial Services - Other,Mauritius,,jaboobakar@citco.com,+230 4042600,jaboobakar@citco.com,mauritius_ifc_directory,,Financial Services - Other
CKLB International Management Ltd,Financial Services - Other,Mauritius,,cklbmru@cklb.com,+230 405 8800,cklbmru@cklb.com,mauritius_ifc_directory,,Financial Services - Other
Curatus Trust Company (Mauritius) Limited,Financial Services - Other,Mauritius,,ruma.k@curatustrust.com,+230 454 1040,ruma.k@curatustrust.com,mauritius_ifc_directory,,Financial Services - Other
Fideco Global Business Services Ltd,Financial Services - Other,Mauritius,,fideco@intnet.mu,+230 210 1867,fideco@intnet.mu,mauritius_ifc_directory,,Financial Services - Other
Fides Trustees (Mauritius) Ltd,Financial Services - Other,Mauritius,,kiran@fidestrustees.mu,(+230) 4608989,kiran@fidestrustees.mu,mauritius_ifc_directory,,Financial Services - Other
Global Wealth Management Solutions Ltd (GWMS LTD),Financial Services - Other,Mauritius,,info@gwms.mu,+ (230) 454 2110,info@gwms.mu,mauritius_ifc_directory,,Financial Services - Other
GMG Trust Ltd,Financial Services - Other,Mauritius,,office@gmgfinancial.com,+230 405 9000,office@gmgfinancial.com,mauritius_ifc_directory,,Financial Services - Other
Grant Thornton Mauritius,Financial Services - Other,Mauritius,,grant.thornton@mu.gt.com,(230) 4673001,grant.thornton@mu.gt.com,mauritius_ifc_directory,,Financial Services - Other
Habib Bank Limited,Financial Services - Other,Mauritius,,hbl@hbl.intnet.mu,+(230) 2177600,hbl@hbl.intnet.mu,mauritius_ifc_directory,,Financial Services - Other
Hongkong And Shanghai Banking Corporation Limited,Financial Services - Other,Mauritius,,hsbcmauritius@hsbc.co.mu,+(230) 403 8333,hsbcmauritius@hsbc.co.mu,mauritius_ifc_directory,,Financial Services - Other
HSBC Bank (Mauritius) Limited,Financial Services - Other,Mauritius,,global.business@hsbc.co.mu,(230) 403 8333,global.business@hsbc.co.mu,mauritius_ifc_directory,,Financial Services - Other
Imara Trust Company (Mauritius) Limited,Financial Services - Other,Mauritius,,Preetam@imara.mu,+2304669171,Preetam@imara.mu,mauritius_ifc_directory,,Financial Services - Other
Indian Ocean General Assurance Co. Ltd,Financial Services - Other,Mauritius,,info@iogaltd.com,+230 2089000,info@iogaltd.com,mauritius_ifc_directory,,Financial Services - Other
Insurers' Association of Mauritius,Financial Services - Other,Mauritius,,secretary.general@insurersassociation.mu,+230 468 73 25,secretary.general@insurersassociation.mu,mauritius_ifc_directory,,Financial Services - Other
Intercontinental Trust Limited (ITL),Financial Services - Other,Mauritius,,info@intercontinentaltrust.com,(230) 403 0800,info@intercontinentaltrust.com,mauritius_ifc_directory,,Financial Services - Other
International Proximity,Financial Services - Other,Mauritius,,mail@internationalproximity.com,+230 401 2300,mail@internationalproximity.com,mauritius_ifc_directory,,Financial Services - Other
Investec Bank (Mauritius) Limited,Financial Services - Other,Mauritius,,infomru@investec.co.mu,(230) 207 4000,infomru@investec.co.mu,mauritius_ifc_directory,,Financial Services - Other
Investors Europe (Maurtius) Ltd,Financial Services - Other,Mauritius,,info@investorseurope.com,(230) 54490369,info@investorseurope.com,mauritius_ifc_directory,,Financial Services - Other
IQ-EQ Mauritius,Financial Services - Other,Mauritius,,mauritius@iqeq.com,+(230) 213 9902,mauritius@iqeq.com,mauritius_ifc_directory,,Financial Services - Other
Island Life Assurance Co. Ltd,Financial Services - Other,Mauritius,,customer.service@ila.mu,+230 217 6900,customer.service@ila.mu,mauritius_ifc_directory,,Financial Services - Other
JTC Fiduciary Services (Mauritius) Limited,Financial Services - Other,Mauritius,,info-mu@jtcgroup.com,+230 464 5100,info-mu@jtcgroup.com,mauritius_ifc_directory,,Financial Services - Other
Juristax Ltd,Financial Services - Other,Mauritius,,contact@juristax.com,(+230) 465 5526,contact@juristax.com,mauritius_ifc_directory,,Financial Services - Other
Lamco International Insurance Ltd,Financial Services - Other,Mauritius,,lamco@intnet.mu,212 2221/2124494,lamco@intnet.mu,mauritius_ifc_directory,,Financial Services - Other
Maitland Group,Financial Services - Other,Mauritius,,info@maitlandgroup.com,+230 210 9334,info@maitlandgroup.com,mauritius_ifc_directory,,Financial Services - Other
